test 0:  "simple convolution kernel dry run"
: PASSED
test 1:  "PMC test"
event(block(6_0), id(4)), sample(0), result(0)
event(block(6_0), id(4)), sample(1), result(0)
event(block(6_0), id(4)), sample(2), result(0)
event(block(6_0), id(4)), sample(3), result(0)
event(block(6_0), id(4)), sample(4), result(0)
event(block(6_0), id(4)), sample(5), result(0)
event(block(6_0), id(4)), sample(6), result(0)
event(block(6_0), id(4)), sample(7), result(0)
event(block(6_0), id(4)), sample(8), result(0)
event(block(6_0), id(4)), sample(9), result(0)
event(block(6_0), id(4)), sample(10), result(0)
event(block(6_0), id(4)), sample(11), result(0)
event(block(6_0), id(4)), sample(12), result(0)
event(block(6_0), id(4)), sample(13), result(0)
event(block(6_0), id(4)), sample(14), result(0)
event(block(6_0), id(4)), sample(15), result(0)
event(block(6_0), id(4)), sample(16), result(0)
event(block(6_0), id(4)), sample(17), result(0)
event(block(6_0), id(4)), sample(18), result(0)
event(block(6_0), id(4)), sample(19), result(0)
event(block(6_0), id(14)), sample(0), result(0)
event(block(6_0), id(14)), sample(1), result(0)
event(block(6_0), id(14)), sample(2), result(0)
event(block(6_0), id(14)), sample(3), result(0)
event(block(6_0), id(14)), sample(4), result(0)
event(block(6_0), id(14)), sample(5), result(0)
event(block(6_0), id(14)), sample(6), result(0)
event(block(6_0), id(14)), sample(7), result(0)
event(block(6_0), id(14)), sample(8), result(0)
event(block(6_0), id(14)), sample(9), result(0)
event(block(6_0), id(14)), sample(10), result(0)
event(block(6_0), id(14)), sample(11), result(0)
event(block(6_0), id(14)), sample(12), result(0)
event(block(6_0), id(14)), sample(13), result(0)
event(block(6_0), id(14)), sample(14), result(0)
event(block(6_0), id(14)), sample(15), result(0)
event(block(6_0), id(14)), sample(16), result(0)
event(block(6_0), id(14)), sample(17), result(0)
event(block(6_0), id(14)), sample(18), result(0)
event(block(6_0), id(14)), sample(19), result(0)
event(block(6_0), id(47)), sample(0), result(0)
event(block(6_0), id(47)), sample(1), result(0)
event(block(6_0), id(47)), sample(2), result(0)
event(block(6_0), id(47)), sample(3), result(0)
event(block(6_0), id(47)), sample(4), result(0)
event(block(6_0), id(47)), sample(5), result(0)
event(block(6_0), id(47)), sample(6), result(0)
event(block(6_0), id(47)), sample(7), result(0)
event(block(6_0), id(47)), sample(8), result(0)
event(block(6_0), id(47)), sample(9), result(0)
event(block(6_0), id(47)), sample(10), result(0)
event(block(6_0), id(47)), sample(11), result(0)
event(block(6_0), id(47)), sample(12), result(0)
event(block(6_0), id(47)), sample(13), result(0)
event(block(6_0), id(47)), sample(14), result(0)
event(block(6_0), id(47)), sample(15), result(0)
event(block(6_0), id(47)), sample(16), result(0)
event(block(6_0), id(47)), sample(17), result(0)
event(block(6_0), id(47)), sample(18), result(0)
event(block(6_0), id(47)), sample(19), result(0)
event(block(0_0), id(0)), sample(0), result(0)
event(block(0_0), id(8)), sample(0), result(0)
: PASSED
test 2:  "SQTT test"
sample(0) size(7424) ptr(0x712418a00000)
: PASSED
test 3:  "PCSMP test"
: PASSED
4 tests total / 4 tests run / 0 tests failed
